 AP   F1   A2   A3   A4   A5   A6   AB  TILT  T0   AV   F2   F3   F4   FZ   B1   B2   B3   B4   PH   DU   DP  OPENQ FNP  FNF  GNF GSPD
   0  350    0    0    0    0    0    0    0  338    0 1100 2150 3300  290  200  180  180  200    0    1    0   50  290  550    0   13 
   0  355    0    0    0    0    0    0    7  336    0 1094 2157 3300  290  200  180  180  200    0    1    0   50  290  550    0   13 
   0  373    0    0    0    0    0    0    7  322    0 1081 2171 3300  290  200  180  180  200   45   13    0   52  290  550    0   13 
   0  390    0    0    0    0    0    0    7  310    0 1068 2186 3300  290  200  180  180  200   45   13    0   54  290  550    0   13 
   0  407    0    0    0    0    0    0    7  301    0 1054 2201 3300  290  200  180  180  200   45   13    0   56  290  550    0   13 
   0  424    0    0    0    0    0    0    7  294    0 1041 2215 3300  290  200  180  180  200   45   13    0   58  290  550    0   13 
   0  441    0    0    0    0    0    0    7  289    0 1028 2230 3300  290  200  180  180  200   45   13    0   60  290  550    0   13 
   0  458    0    0    0    0    0    0    7  284    0 1015 2245 3300  290  200  180  180  200   45   13    0   62  290  550    0   13 
   0  475    0    0    0    0    0    0    7  280    0 1002 2259 3300  290  200  180  180  200   45   13    0   64  290  550    0   13 
   0  492    0    0    0    0    0    0    7  277    0  989 2274 3300  290  200  180  180  200   45   13    0   66  290  550    0   13 
   0  510    0    0    0    0    0    0    7  275    0  976 2288 3300  290  200  180  180  200   45   13    0   68  290  550    0   13 
   0  527    0    0    0    0    0    0    7  273    0  963 2303 3300  290  200  180  180  200   45   13    0   70  290  550    0   13 
   0  544    0    0    0    0    0    0    7  271    0  949 2318 3300  290  185  165  170  200   45   13    0   70  290  550    0   13 
   0  561    0    0    0    0   42   59    7  270    0  936 2332 3300  290  170  150  160  200   45   13    0   70  290  550    0   13 
  61  579    0    0    0    0   30   47   20  268    0  924 2347 3300  290  610  110  149  200   45   13    0   68  290  550    0   13 
  61  590    0    0    0    0   20   31   19  267    0  929 2363 3300  290  610  110  144  200   45   13    0   66  290  550    0   13 
  61  601    0    0    0    0   10   15   18  267    0  934 2380 3300  290  610  110  139  200   45   13    0   64  290  550    0   13 
  61  613    0    0    0    0    0    0   17  266    0  945 2389 3300  290  610  110  134  200   45   13    0   62  290  550    0   13 
  61  615    0    0    0    0    0    0   16  265    0  956 2399 3300  290  610  110  129  200   45   13    0   60  290  550    0   13 
  61  616    0    0    0    0    0    0   15  275    0  961 2408 3301  290  610  110  124  200   10   41    0   58  290  550    0   13 
  33  618    0    0    0    0    0    0   14  283   34  967 2418 3301  290  415   90  120  200   10   41   22   56  290  550    0   13 
  30  620    0    0    0    0    0    0   13  290   42  973 2427 3301  290  376   90  120  200   10   41   14   54  290  550    0   13 
  28  621    0    0    0    0    0    0   12  296   50  978 2420 3302  290  338   90  120  200   10   41    6   52  290  550    0   13 
  26  623    0    0    0    0    0    0   11  302   64  984 2413 3302  290  300   90  120  200   10   41    0   50  290  550    0   13 
  23  625    0    0    0    0    0    0   10  306   64  990 2407 3303  290  262   90  120  200   10   41    0   50  290  550    0   13 
  21  626    0    0    0    0    0    0    9  311   64  995 2400 3303  290  224   90  120  200   10   41    0   50  290  550    0   13 
  19  628    0    0    0    0    0    0    8  315   64 1001 2393 3303  290  186   90  120  200   10   41    0   50  290  550    0   13 
  16  629    0    0    0    0    0    0    7  319   64 1006 2386 3304  290  148   90  120  200   10   41    0   50  290  550    0   13 
  14  631    0    0    0    0    0    0    6  322   64 1012 2379 3304  290  110   90  120  200   10   41    0   50  290  550    0   13 
  11  633    0    0    0    0    0    0    5  325   64 1018 2372 3304  290  110   90  120  200   10   41    0   50  290  550    0   13 
   9  634    0    0    0    0    0    0    4  329   64 1023 2365 3305  290  110   90  120  200   10   41    0   50  290  550    0   13 
   7  636    0    0    0    0    0    0    3  331   64 1029 2358 3305  290  110   90  120  200   10   41    0   50  290  550    0   13 
   4  638    0    0    0    0    0    0    2  334   64 1035 2352 3306  290  110   90  120  200   10   41    0   50  290  550    0   13 
   2  639    0    0    0    0    0    0    1  336   64 1040 2345 3306  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  641    0    0    0    0    0    0    0  338   64 1046 2338 3306  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  642    0    0    0    0    0    0    0  340   64 1051 2331 3307  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  644    0    0    0    0    0    0    0  342   64 1057 2324 3307  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  646    0    0    0    0    0    0    0  344   64 1063 2317 3307  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  647    0    0    0    0    0    0    0  345   64 1068 2310 3308  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  649    0    0    0    0    0    0    0  347   64 1074 2303 3308  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  651    0    0    0    0    0    0    0  348   64 1080 2297 3309  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  652    0    0    0    0    0    0    0  349   64 1085 2290 3309  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  654    0    0    0    0    0    0    0  351   64 1091 2283 3309  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  655    0    0    0    0    0    0    0  352   64 1096 2276 3310  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  657    0    0    0    0    0    0    0  353   64 1102 2269 3310  290  110   90  120  200   10   41    0   50  290  550    0   13 
   0  659    0    0    0    0    0    0    0  354   64 1108 2262 3310  290  110   90  120  200   10   41    0   50  290  550    0   13 
